techstack,count
Vue.js,64
JavaScript,160
Ruby on Rails,19
C#,30
C++,33
Git,92
Node.js,93
Spring,54
MySQL,106
Java,163
jQuery,27
MongoDB,25
PHP,46
WordPress,3
Spring Boot,9
Querydsl,2
Spring Data JPA,2
AWS Lambda,9
AWS S3,10
AWS EC2,13
Redis,22
Sass(SCSS),5
CSS,83
HTML5,7
ReactJS,91
Linux,27
SEO,2
Next.js,4
Redux-Saga,2
Webpack,18
GraphQL,18
AWS DynamoDB,6
Kubernetes,15
Deep Learning,4
Tensorflow,13
C,18
.NET,11
Python,117
ES6,38
Vanilla JS,2
Docker,57
DBA(Database administration),2
SQL,21
REST API,34
Amazon Web Services(AWS),21
iOS,59
Android,54
Unity,8
Kotlin,44
RxJava,13
MVVM(Model-View-ViewModel),14
SQLite,2
HTML,85
AngularJS,16
Database,5
Blockchain,1
TypeScript,37
Go,13
DSP(Digital Signal Processing),1
PyTorch,13
RxSwift,10
Swift,44
AWS Route 53,2
AWS CloudFront,1
GatsbyJS,1
React Native,42
Spring Cloud,1
MariaDB,16
Django,30
flutter,7
Retrofit,2
Firebase,12
Gradle,6
Objective-C,24
Redux.js,14
MVP,5
Redux-Thunk,1
AWS EMR,1
Apache Hadoop,5
Apache Airflow,2
Finatra,1
Apache Kafka,4
GitHub,13
JIRA,6
CI/CD,2
Selenium,4
Appium,3
AWS Device Farm,1
Scala,4
Naver API,1
Cafe24 API,1
Moleculer,1
PostgreSQL,15
Azure,8
Ajax,3
Apache JMeter,1
AWS Simple Notification Service(AWS SNS),2
AWS Simple Queue Service(AWS SQS),3
AWS ElasticBeanstalk,2
Microservice Architecture,6
Nuxt.js,6
CodeIgniter,5
AWS Cognito,1
AWS RDS,7
Nginx,3
ExpressJS,5
SAS,1
gRPC,2
CocoaPods,1
CSS3,3
NoSQL,14
Pandas,3
D3.js,2
styled-components,2
Keras,6
Jenkins,6
Machine Learning,6
AWS Alexa,2
GCP(Google Cloud Platform),14
Data Analysys,2
SciPy,1
Numpy,1
Ruby,5
Perl,1
Aurora DB,2
Oracle Database,1
ASP.NET,4
Storybook,1
Cypress,2
Jest,4
Canvas,1
Elasticsearch,6
Terraform,3
React Admin,3
OOP,2
OkHttp,1
Elixir,2
Big Data,3
Oracle,6
Spring Batch,1
AWS CloudWatch,2
Hibernate,2
JPA(Java Persistent API),2
AWS CloudFormation,1
AWS CloudTrail,1
AWS VPC,1
Apache Spark,4
Apache Maven,2
Angular,8
RabbitMQ,3
Apache,2
Ansible,3
Flask,4
Espresso.js,1
Windows Forms,2
MSSQL(Microsoft SQL Server),13
MVC,3
Laravel,10
Elastic Stack,3
Apache Aurora,1
AWS ECS,3
Dagger2,3
Glide,2
Retrofit2,2
Reactor,2
Google Cloud SDK,2
WebRTC,2
Text Mining,2
NLP,6
Google Cloud Build,1
Koa.js,1
Less.js,2
Google Cloud Platform,3
Travis CI,1
Sequelize.js,1
Dart,1
Chart.js,1
Babel,2
Google Cloud Pub/Sub,1
Unreal Engine,3
Windows Server,4
RxJS,2
GeoServer,1
JSP,4
JUnit,1
AWS Redshift,2
Shell Script,3
Electron,1
ECMAScript(ES),2
ASP,1
XAML,1
WPF,2
EOS,1
Ubuntu,1
ExoPlayer,1
TCP/IP,2
AWS Elastic Beanstalk,1
ActionScript,1
Mocha,1
Haskell,2
Rust,2
Vuex,2
Kibana,1
Hyperledger,3
Apache CouchDB,1
STT(Speech to Text),1
AWS Backup,1
DRF(Django REST framework),2
EmberJS,1
EXTJS,1
Adobe InDesign,1
Netty,1
AWS MSK,1
AWS ElastiCache,1
BitBucket,1
RequireJS,1
WebGL,3
DirectX,1
OpenGL,2
Apache HTTP Server,1
MyBatis,2
ThreeJS,1
OpenCV,3
Celery,1
Windows Embedded,1
Apollo Server,1
Apollo Client,1
Realm,1
ITK,1
Qt,3
Crawling,1
SVN(Apache Subversion),1
Image Processing,1
CAD,1
Apache Tomcat,1
OpenLayers,1
Shell,1
